WKT,Hyperlink,CAPT,DISCUSSION,YEAR_MO_DA,Shape_X,Shape_Y
"POINT (-93.1971366026666 39.3705989980354)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-14.xml&_xslsrc=LCstyles.xsl,L&C,near Dewitt,1804-06-14,-93.1971366027,39.370598998
"POINT (-123.879734513062 46.1347944981133)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1806-01-05.xml&_xslsrc=LCstyles.xsl,L&C,Fort Clatsop,1806-01-05,-123.879734513,46.1347944981
"POINT (-89.4602984242338 37.205610897219)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1803-11-22.xml&_xslsrc=LCstyles.xsl,L&C,"1½ miles south of Thebes, Ill",1803-11-22,-89.4602984242,37.2056108972
"POINT (-89.5086403027463 37.3189397267746)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1803-11-23.xml&_xslsrc=LCstyles.xsl,L&C,at Cape Girardeau,1803-11-23,-89.5086403027,37.3189397268
"POINT (-89.4719864196668 37.4622816940605)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1803-11-24.xml&_xslsrc=LCstyles.xsl,L&C,3½ miles south of Neelys Landing,1803-11-24,-89.4719864197,37.4622816941
"POINT (-89.5219863007329 37.6406178774821)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1803-11-25.xml&_xslsrc=LCstyles.xsl,L&C,at Grand Tower,1803-11-25,-89.5219863007,37.6406178775
"POINT (-89.6503284858991 37.7406244950586)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1803-11-26.xml&_xslsrc=LCstyles.xsl,L&C,"2 miles above Seventysix, Mo",1803-11-26,-89.6503284859,37.7406244951
"POINT (-89.847005980954 37.9006293233508)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1803-11-27.xml&_xslsrc=LCstyles.xsl,L&C,"near Chester, Ill",1803-11-27,-89.847005981,37.9006293234
"POINT (-89.9270017645902 37.9639582076358)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1803-11-28.xml&_xslsrc=LCstyles.xsl,L&C,"opposite of Ft Kaskaskia, Ill",1803-11-28/30,-89.9270017646,37.9639582076
"POINT (-89.9270017645902 37.9639582076358)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1803-12-01.xml&_xslsrc=LCstyles.xsl,L&C,"remained opposite of Ft Kaskaskia, Ill",1803-12-01/02,-89.9270017646,37.9639582076
"POINT (-89.9920066217669 37.9722979366846)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1803-12-03.xml&_xslsrc=LCstyles.xsl,L&C,2½ miles farther upriver,1803-12-03,-89.9920066218,37.9722979367
"POINT (-90.2170145913642 38.1073054272976)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1803-12-04.xml&_xslsrc=LCstyles.xsl,L&C,2½ miles WSW of Kidd,1803-12-04,-90.2170145914,38.1073054273
"POINT (-90.3620211924991 38.2673098228631)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1803-12-05.xml&_xslsrc=LCstyles.xsl,L&C,1 mile SW of Harrisonville,1803-12-05,-90.3620211925,38.2673098229
"POINT (-90.3270129646297 38.4706431478282)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1803-12-06.xml&_xslsrc=LCstyles.xsl,L&C,1½ miles NE of Wickes,1803-12-06,-90.3270129646,38.4706431478
"POINT (-90.2070104663717 38.5873100712534)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1803-12-07.xml&_xslsrc=LCstyles.xsl,L&C,"at Cahokia, Illinois",1803-12-07/09,-90.2070104664,38.5873100713
"POINT (-90.1803360216825 38.6189691189289)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1803-12-10.xml&_xslsrc=LCstyles.xsl,L&C,"opposite of St Louis, Mo",1803-12-10,-90.1803360217,38.6189691189
"POINT (-90.1953343035476 38.72731088121)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1803-12-11.xml&_xslsrc=LCstyles.xsl,L&C,on island near Granite City,1803-12-11,-90.1953343035,38.7273108812
"POINT (-90.1175487572942 38.8453590880838)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1803-12-12.xml&_xslsrc=LCstyles.xsl,L&C,"at Camp Dubois, Ill ? site now in Missouri",1803-12-12/31,-90.1175487573,38.8453590881
"POINT (-90.1175487572942 38.8453590880838)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-01-01.xml&_xslsrc=LCstyles.xsl,L&C,Camp Dubois or Wood River,1804-01-01/31,-90.1175487573,38.8453590881
"POINT (-90.1175487572942 38.8453590880838)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-05-01.xml&_xslsrc=LCstyles.xsl,L&C,Camp Dubois or Wood River,1804-05-01/13,-90.1175487573,38.8453590881
"POINT (-90.2186661368276 38.8373106024433)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-05-14.xml&_xslsrc=LCstyles.xsl,Clark,on island near Coldwater,1804-05-14,-90.2186661368,38.8373106024
"POINT (-90.3470124587357 38.8706411259577)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-05-15.xml&_xslsrc=LCstyles.xsl,Clark,4 miles south of Portage des Sioux,1804-05-15,-90.3470124587,38.870641126
"POINT (-90.4734072257233 38.7828624032602)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-05-16.xml&_xslsrc=LCstyles.xsl,Clark,at St. Charles,1804-05-16/20,-90.4734072257,38.7828624033
"POINT (-90.1920093314572 38.6239695742333)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-05-14.xml&_xslsrc=LCstyles.xsl,Lewis,in St Louis,1804-05-14/19,-90.1920093315,38.6239695742
"POINT (-90.4734072257233 38.7828624032602)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-05-20.xml&_xslsrc=LCstyles.xsl,Lewis,joins Clark at St Charles,1804-05-20,-90.4734072257,38.7828624033
"POINT (-90.51118257279 38.7406467624032)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-05-21.xml&_xslsrc=LCstyles.xsl,L&C,2 miles SW of St. Charles,1804-05-21,-90.5111825728,38.7406467624
"POINT (-90.7045292495186 38.689533865473)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-05-22.xml&_xslsrc=LCstyles.xsl,L&C,2 miles NE of Femme Osage River,1804-05-22,-90.7045292495,38.6895338655
